,calibName,chamber,splitDriftTime,diffJointPoint,para_smallRt,residual_smallRt,ndf_smallRt,para_largeRt,residual_largeRt,ndf_largeRt,para_res,residual_res,ndf_res
10,BEE_3_1,BEE1A06,98.76584389593062,-0.0005299999236569874,"[0.04638006119711227, 0.07110246579028329]",[0.0195793],14,"[-5.4741191725360637e-11, 1.1535600313050652e-07, -9.564482745691094e-05, 0.04837125485867971, 0.7009677354298228]",[0.02570847],87,"[0.00962368227813272, -0.4198704260828717, 7.1182833562638566, -56.29773236502881, 240.34118092033958]",[6.93905255],100
11,BEE_3_2,BEE2A06,98.66577718478986,0.0005276726604162008,"[0.0463828997412445, 0.07099933441038972]",[0.0193577],14,"[-5.491949075054406e-11, 1.1565773576496379e-07, -9.583136558574736e-05, 0.04842695157091639, 0.6968760477245373]",[0.02570946],87,"[0.009653058905433871, -0.4208720997357748, 7.1294920126270585, -56.33921653780312, 240.34525226012292]",[6.9646129],100
12,BEE_4_-1,BEE1C08,98.46564376250834,0.0001295598204542614,"[0.04641503789496396, 0.06992014714264601]",[0.01755081],14,"[-5.654712140945209e-11, 1.1838688406830759e-07, -9.750635269141542e-05, 0.04892767041381745, 0.660307837648205]",[0.02587417],87,"[0.009340545225188514, -0.4101158433134807, 7.006513363596507, -55.84546245547443, 240.0293748692864]",[7.42750848],100
13,BEE_4_-2,BEE2C08,98.56571047364909,0.000575508307095518,"[0.04639662781932374, 0.07053728978530957]",[0.01858588],14,"[-5.558741887013112e-11, 1.1677870341196257e-07, -9.651964729778804e-05, 0.048632769365550756, 0.6818345544635432]",[0.02576196],87,"[0.00943985899730635, -0.4136499023263535, 7.0486497435370135, -56.02560050453186, 240.1726524028937]",[7.91098555],100
14,BEE_4_1,BEE1A08,98.76584389593062,0.00029839962519062624,"[0.04637163619925712, 0.07138437652881272]",[0.02005905],14,"[-5.434716606572919e-11, 1.1469210879942762e-07, -9.523538723265219e-05, 0.048248374850688336, 0.7099904509779311]",[0.02566268],87,"[0.009654534157215509, -0.4208010855034423, 7.127275765392561, -56.32857778184295, 240.38017881102132]",[6.76386332],100
15,BEE_4_2,BEE2A08,98.76584389593062,-0.0005627408683102075,"[0.04638004911891697, 0.07110378149398684]",[0.01954485],14,"[-5.477124544462787e-11, 1.1540766317022226e-07, -9.567685715524035e-05, 0.048380486294777016, 0.7002888954190805]",[0.02568437],87,"[0.009628175248925827, -0.42002393905425567, 7.120009966027716, -56.30424456452988, 240.3425812446635]",[6.94218772],100
16,BEE_5_-1,BEE1C10,98.56571047364909,0.0003461558590114322,"[0.04639880648359639, 0.07046339392253456]",[0.01848123],14,"[-5.5708783207829235e-11, 1.1698147994230684e-07, -9.664350407044049e-05, 0.04866955092597574, 0.6791412194532601]",[0.02580663],87,"[0.009458938601742992, -0.4143007304686532, 7.055931749991399, -56.052469727079554, 240.1745538873889]",[7.91672061],100
17,BEE_5_-2,BEE2C10,98.66577718478986,-0.0001830716553907763,"[0.04639030922780722, 0.07075087904733121]",[0.01894011],14,"[-5.5282125674747395e-11, 1.1626679090492927e-07, -9.620575778432782e-05, 0.04853914123229, 0.6886726806421786]",[0.0257562],87,"[0.009633842729831811, -0.42022448764517484, 7.12252346117955, -56.31688893240689, 240.3599036093311]",[7.51871988],100
18,BEE_5_1,BEE1A10,98.86591060707137,-0.00015153414799051745,"[0.0463615935798219, 0.07173076390126026]",[0.02065196],14,"[-5.3877537418213896e-11, 1.1390132499113128e-07, -9.474783969873618e-05, 0.048101607320847166, 0.7207385339799952]",[0.02559924],87,"[0.00954310950297791, -0.4172945245679504, 7.092080512528695, -56.21778404044282, 240.38301458272636]",[6.31050931],100
19,BEE_5_2,BEE2A10,98.86591060707137,-0.00031328886583192883,"[0.04636342146835327, 0.07165714285714345]",[0.02052164],14,"[-5.3969791519559533e-11, 1.1405673604084927e-07, -9.484390277570306e-05, 0.04813078320390728, 0.7185969700251333]",[0.02561505],87,"[0.009559097333506872, -0.41783960748163596, 7.098169578264218, -56.24011737422885, 240.38380673815874]",[6.32473251],100
20,BEE_6_-1,BEE1C12,98.66577718478986,-0.000366219933330747,"[0.04639199309000017, 0.07070232031039948]",[0.01884976],14,"[-5.536765138897509e-11, 1.1641097426181563e-07, -9.62947773451589e-05, 0.04856584240633799, 0.6867088371515658]",[0.02575247],87,"[0.009556675599042252, -0.4176617428178233, 7.094505022359506, -56.21112577333685, 240.30240419827118]",[7.69198511],100
21,BEE_6_-2,BEE2C12,98.76584389593062,-0.0006236624109323685,"[0.04638041038953354, 0.07109478191437175]",[0.01953278],14,"[-5.4783219746364725e-11, 1.1542815002555857e-07, -9.568982414907277e-05, 0.048384488364547555, 0.6999672784699866]",[0.02569823],87,"[0.009629860496663667, -0.42008201571216625, 7.120666897951756, -56.30668679373742, 240.34263819098933]",[6.93946219],100
22,BEE_6_1,BEE1A12,98.96597731821214,-8.902860919057787e-05,"[0.046346939062666966, 0.07223428864100831]",[0.02156199],14,"[-5.3181042513271733e-11, 1.127231385120849e-07, -9.401890761739526e-05, 0.04788233131789263, 0.7368788380473377]",[0.02553846],87,"[0.009425402693505341, -0.41328007510947334, 7.047158013756945, -56.05173536491406, 240.36877172857504]",[6.23464088],100
