,calibName,chamber,splitDriftTime,diffJointPoint,para_smallRt,residual_smallRt,ndf_smallRt,para_largeRt,residual_largeRt,ndf_largeRt,para_res,residual_res,ndf_res
0,BML_3_-6,BML6C05,98.56571047364909,-0.0005180522704693047,"[0.0463774971150708, 0.06776096035828488]",[0.01562363],14,"[-5.739524698730294e-11, 1.198220823381498e-07, -9.838424377108264e-05, 0.04916915898172432, 0.6385806721527341]",[0.02538655],87,"[7.109090696545131e-05, -0.03812609042090042, 1.6764226597910405, -26.554263422112218, 227.06231666713106]",[8.48733957],100
1,EML_7_-5,EML5C13,99.16611074049366,-7.24692418474504e-05,"[0.04629012937897703, 0.07072624720296217]",[0.02082659],14,"[-5.2925074945780526e-11, 1.123066732896354e-07, -9.37615194937228e-05, 0.04778593406372262, 0.7399613661753971]",[0.02501424],87,"[2.579530489795329e-06, -0.03601255589382992, 1.6547347583164926, -26.46829537068329, 226.93856473146298]",[7.74192628],100
2,EMS_5_-4,EMS4C10,98.46564376250834,-0.000460019721502114,"[0.04639055182652561, 0.06731361664864993]",[0.01492584],14,"[-5.81361902062278e-11, 1.2105566488517656e-07, -9.913612839306982e-05, 0.04939236107895056, 0.6223476542508467]",[0.02548081],87,"[-1.920460650438795e-05, -0.0353373205275511, 1.6487251260903428, -26.465616034465015, 227.06702498584713]",[8.47738413],100
3,BIR_8_4,BIR4A15,98.56571047364909,-0.0005562713883318082,"[0.04637821676402033, 0.06771714742275865]",[0.01559308],14,"[-5.741947984049788e-11, 1.198622845384844e-07, -9.840859513455645e-05, 0.04917629132241841, 0.6380669371057174]",[0.0254108],87,"[7.3241511487733e-05, -0.03820323953696027, 1.6773404881001335, -26.557901339272437, 227.062419902807]",[8.48869296],100
4,BIS_2_-6,BIS6C04,98.46564376250834,-1.5335179366360308e-05,"[0.046386347250762815, 0.06744571428571533]",[0.015169],14,"[-5.786379174861297e-11, 1.2060267794114077e-07, -9.886009421496359e-05, 0.04931018917127019, 0.628332103112522]",[0.02543947],87,"[0.0001154537290017526, -0.03931505845367716, 1.6852198339606577, -26.56306562399687, 227.0227143425663]",[8.46672471],100
5,EIL_4_-4,EIL4C07,98.36557705136758,-1.4552969017422868e-05,"[0.04639974264827246, 0.0669937382380318]",[0.01445214],14,"[-5.866481009863196e-11, 1.2193326633838717e-07, -9.966927857203653e-05, 0.04954997104078123, 0.6109243501819964]",[0.02550445],87,"[-2.3612620632772466e-05, -0.03501292047524576, 1.6420637092595574, -26.419016152753716, 226.99879859134708]",[8.30170494],100
6,BOL_2_-5,BOL5C03,98.26551034022681,0.00040388619821118965,"[0.046408705998023034, 0.06671076327783512]",[0.01397439],14,"[-5.920577778123558e-11, 1.2282906503768332e-07, -0.00010021210006012827, 0.04971018064912569, 0.5993251369529704]",[0.02553519],87,"[-7.917342402544875e-05, -0.03313004243097267, 1.6210201772505357, -26.3363103318762, 226.9340031574389]",[7.98181313],100
7,EOL_6_-6,EOL6C11,98.76584389593062,0.0006030805279957363,"[0.04633849848966591, 0.06906558075056947]",[0.01785905],14,"[-5.5291485737774636e-11, 1.1630296587841157e-07, -9.623050994795839e-05, 0.04852755085949981, 0.6853754308159096]",[0.02522602],87,"[-8.586878105279893e-05, -0.03320200629900414, 1.6255948780975797, -26.359594841021256, 226.81069548927218]",[8.18115694],100
8,EOL_8_-3,EOL3C15,98.66577718478986,0.0002580967460330541,"[0.0463560360875204, 0.06846802349238724]",[0.01686102],14,"[-5.6189600582325565e-11, 1.1780910258118031e-07, -9.715475040229401e-05, 0.04880362543044014, 0.6651968529197497]",[0.02530735],87,"[4.027150254911655e-05, -0.037275125353975785, 1.6700832386655657, -26.549523132550238, 227.08504767950922]",[8.39390862],100
9,EMS_3_4,EMS4A06,98.26551034022681,8.059494610979101e-05,"[0.04641210423465094, 0.06659209366891922]",[0.01379179],14,"[-5.942780219248108e-11, 1.2319761100871974e-07, -0.00010043557072757434, 0.049775781408151525, 0.5945996731092408]",[0.02556656],87,"[-5.831147598657265e-05, -0.033884629463652643, 1.6301361954948315, -26.37396653180663, 226.94347277987913]",[7.97677315],100
